id,behavior
0,MB_NORMAL
1,MB_NORMAL
2,MB_NORMAL
3,MB_NORMAL
4,MB_NORMAL
5,MB_NORMAL
6,MB_NORMAL
7,MB_NORMAL
8,MB_SOUTH_ARROW_WARP
9,MB_NORMAL
10,MB_NORMAL
11,MB_NORMAL
12,MB_NORMAL
13,MB_NORMAL
14,MB_NORMAL
15,MB_NORMAL
16,MB_NORMAL
17,MB_NORMAL
18,MB_NORMAL
19,MB_ANIMATED_DOOR
20,MB_NORMAL
21,MB_NORMAL
22,MB_NORMAL
23,MB_NORMAL
24,MB_NORMAL
25,MB_NORMAL
26,MB_NORMAL
27,MB_ANIMATED_DOOR
28,MB_NORMAL
29,MB_NORMAL
30,MB_NORMAL
31,MB_NORMAL
32,MB_NORMAL
33,MB_NORMAL
34,MB_SOUTH_ARROW_WARP
35,MB_NORMAL
36,MB_NORMAL
37,MB_NORMAL
38,MB_NORMAL
39,MB_NORMAL
40,MB_NORMAL
41,MB_NORMAL
42,MB_NORMAL
43,MB_NORMAL
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NORMAL
48,MB_NORMAL
49,MB_NORMAL
50,MB_NORMAL
51,MB_NORMAL
52,MB_NORMAL
53,MB_NORMAL
54,MB_NORMAL
55,MB_NORMAL
56,MB_NORMAL
57,MB_NORMAL
58,MB_NORMAL
59,MB_NORMAL
60,MB_NORMAL
61,MB_NORMAL
62,MB_NORMAL
63,MB_NORMAL
64,MB_NORMAL
65,MB_NORMAL
66,MB_NORMAL
67,MB_NORMAL
68,MB_NORMAL
69,MB_NORMAL
70,MB_NORMAL
71,MB_NORMAL
72,MB_NORMAL
73,MB_NORMAL
74,MB_NORMAL
75,MB_NORMAL
76,MB_NORMAL
77,MB_NORMAL
78,MB_NORMAL
79,MB_NORMAL
80,MB_NORMAL
81,MB_NORMAL
82,MB_NORMAL
83,MB_NORMAL
84,MB_NORMAL
85,MB_NORMAL
86,MB_NORMAL
87,MB_NORMAL
88,MB_NORMAL
89,MB_NORMAL
90,MB_NORMAL
91,MB_NORMAL
92,MB_NORMAL
93,MB_NORMAL
94,MB_NORMAL
95,MB_NORMAL
96,MB_NORMAL
97,MB_NORMAL
98,MB_NORMAL
99,MB_NORMAL
100,MB_NORMAL
101,MB_NORMAL
102,MB_NORMAL
103,MB_NORMAL
104,MB_SOUTH_ARROW_WARP
105,MB_SOUTH_ARROW_WARP
106,MB_SOUTH_ARROW_WARP
107,MB_NORMAL
108,MB_NORMAL
109,MB_NORMAL
110,MB_NORMAL
111,MB_NORMAL
112,MB_NORMAL
113,MB_NORMAL
114,MB_NORMAL
115,MB_NORMAL
116,MB_NORMAL
117,MB_NORMAL
118,MB_NORMAL
119,MB_NORMAL
120,MB_SOUTH_ARROW_WARP
121,MB_SOUTH_ARROW_WARP
122,MB_NORMAL
123,MB_NORMAL
124,MB_NORMAL
125,MB_NORMAL
126,MB_NORMAL
127,MB_NORMAL
128,MB_NORMAL
129,MB_NORMAL
130,MB_NORMAL
131,MB_NORMAL
132,MB_NORMAL
133,MB_NORMAL
134,MB_NORMAL
135,MB_NORMAL
136,MB_PC
137,MB_NORMAL
138,MB_NORMAL
139,MB_NORMAL
140,MB_NORMAL
141,MB_NORMAL
142,MB_NORMAL
143,MB_NORMAL
144,MB_NORMAL
145,MB_NORMAL
146,MB_NORMAL
147,MB_NORMAL
148,MB_SOUTH_ARROW_WARP
149,MB_SOUTH_ARROW_WARP
150,MB_SOUTH_ARROW_WARP
151,MB_NORMAL
152,MB_SOUTH_ARROW_WARP
153,MB_NORMAL
154,MB_NORMAL
155,MB_NORMAL
156,MB_NORMAL
157,MB_SOUTH_ARROW_WARP
158,MB_NORMAL
159,MB_NORMAL
160,MB_SOUTH_ARROW_WARP
161,MB_NORMAL
162,MB_NORMAL
163,MB_NORMAL
164,MB_NORMAL
165,MB_NORMAL
166,MB_NORMAL
167,MB_NORMAL
168,MB_SOUTH_ARROW_WARP
169,MB_NORMAL
170,MB_NORMAL
171,MB_NORMAL
172,MB_NORMAL
173,MB_NORMAL
174,MB_NORMAL
175,MB_NORMAL
176,MB_SOUTH_ARROW_WARP
